epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,466.62,1.41982,3.19968,1.37293,0.52764,0.49981,0.33893,0.2147,1.20792,1.96052,1.29735,0.000174149,0.000174149,0.000174149
2,917.588,1.23987,1.84286,1.24683,0.50865,0.72132,0.57794,0.36168,1.21592,1.57504,1.27758,0.000337949,0.000337949,0.000337949
3,1256.83,1.16532,1.52167,1.19555,0.46736,0.71783,0.59793,0.40077,1.14319,1.50676,1.21919,0.000490178,0.000490178,0.000490178
4,1868.22,1.12775,1.40173,1.16402,0.47629,0.79534,0.63706,0.42941,1.13517,1.46808,1.21754,0.000473926,0.000473926,0.000473926
5,2410.41,1.0998,1.3384,1.15177,0.48088,0.887,0.63144,0.42968,1.09118,1.26677,1.17356,0.000456568,0.000456568,0.000456568
6,2831.81,1.07861,1.31352,1.13511,0.4804,0.87997,0.64762,0.45111,1.08255,1.25855,1.15964,0.00043921,0.00043921,0.00043921
7,3148.61,1.05326,1.26601,1.11756,0.53566,0.84794,0.66643,0.47876,1.04204,1.19694,1.14265,0.000421852,0.000421852,0.000421852
8,3443.21,1.02794,1.20887,1.10389,0.56958,0.80637,0.66062,0.47865,1.02546,1.16386,1.12671,0.000404494,0.000404494,0.000404494
9,3955.81,1.01627,1.19264,1.10037,0.59657,0.80103,0.67975,0.49391,1.00088,1.17105,1.10798,0.000387136,0.000387136,0.000387136
10,4433.3,0.97772,1.16986,1.08319,0.50154,0.8523,0.61954,0.4418,1.02235,1.23907,1.11858,0.000369778,0.000369778,0.000369778
11,4774.59,0.9728,1.14783,1.08111,0.52399,0.9119,0.68965,0.50821,1.00674,1.10546,1.10907,0.00035242,0.00035242,0.00035242
12,5150.87,0.95795,1.13175,1.07054,0.56015,0.79743,0.67835,0.49846,0.98633,1.12637,1.10502,0.000335062,0.000335062,0.000335062
13,5542.39,0.93749,1.11721,1.06259,0.61149,0.78092,0.68659,0.50421,0.98521,1.08469,1.09704,0.000317704,0.000317704,0.000317704
14,6066.24,0.93035,1.09266,1.0583,0.59037,0.76983,0.66091,0.48885,0.97503,1.13218,1.0827,0.000300346,0.000300346,0.000300346
15,6375.6,0.9118,1.07782,1.04886,0.57045,0.83507,0.67887,0.5129,0.94206,1.04273,1.07651,0.000282988,0.000282988,0.000282988
16,6677.72,0.89249,1.05576,1.03802,0.64699,0.75743,0.7084,0.52838,0.95434,1.01297,1.07667,0.00026563,0.00026563,0.00026563
17,6980.6,0.87056,1.04559,1.03682,0.65018,0.74325,0.69089,0.52142,0.92797,1.01514,1.06853,0.000248272,0.000248272,0.000248272
18,7291.35,0.86208,1.03998,1.03112,0.61167,0.80903,0.69002,0.52044,0.92701,1.00599,1.06979,0.000230914,0.000230914,0.000230914
19,7714.27,0.85449,1.04605,1.03658,0.54456,0.95908,0.69111,0.52447,0.93563,1.01135,1.05706,0.000213556,0.000213556,0.000213556
20,8014.51,0.84987,1.02791,1.0227,0.52964,0.944,0.68959,0.53644,0.86045,0.99346,1.03207,0.000196198,0.000196198,0.000196198
21,8323.05,0.80334,1.00991,1.03827,0.61548,0.75318,0.68405,0.5352,0.87231,0.99208,1.03621,0.00017884,0.00017884,0.00017884
22,8728.67,0.7716,0.98307,1.015,0.581,0.7768,0.67045,0.51689,0.87806,0.99076,1.04502,0.000161482,0.000161482,0.000161482
23,9032.59,0.75338,0.97096,1.01207,0.60463,0.77665,0.67104,0.52772,0.8286,0.97642,1.02263,0.000144124,0.000144124,0.000144124
24,9326.64,0.73117,0.9581,0.99661,0.62328,0.7767,0.69169,0.54452,0.82751,0.95594,1.01315,0.000126766,0.000126766,0.000126766
25,9620.08,0.71915,0.94847,0.992,0.65507,0.71711,0.66749,0.52921,0.81399,0.98455,1.01133,0.000109408,0.000109408,0.000109408
26,9917.5,0.71302,0.94828,0.99144,0.6592,0.73167,0.68372,0.5416,0.80844,0.9561,1.01025,9.205e-05,9.205e-05,9.205e-05
27,10303.5,0.69145,0.92696,0.97718,0.63535,0.76799,0.6857,0.5496,0.79567,0.95152,1.0069,7.4692e-05,7.4692e-05,7.4692e-05
28,10621.1,0.67587,0.92704,0.96771,0.59611,0.77463,0.67349,0.53867,0.78916,0.95261,1.00421,5.7334e-05,5.7334e-05,5.7334e-05
29,11011.8,0.67762,0.92387,0.97923,0.62477,0.75876,0.68184,0.54378,0.78166,0.94624,0.99873,3.9976e-05,3.9976e-05,3.9976e-05
30,11315.1,0.66162,0.91994,0.96638,0.61041,0.75984,0.67213,0.54299,0.77217,0.95703,0.99634,2.2618e-05,2.2618e-05,2.2618e-05
